"","x"
"lhsyRdDtRNjOJ41ferYagQ",0.191957711111171
"2owT9j-7HXR-wtPmrIzDxA",0.180294235670482
"n5eQnMnVVt3FfrFENYoU0g",0.176885652487645
"4W2Ucl0d0_EK1HNYPIo88w",0.15257127685912
"GXqBm5N0yZ3-rCd6hgUM7w",0.145783943962466
"6AzXPSXxztBnGwkToG3jKg",0.134277694820125
"UCzaZ2z6E-Xy8Vn-MLpIrw",0.129732715116068
"jTGQUWGIVvL-aY03C5BEmw",0.126693565453519
"CKf3mf7fl5sZO9xviHU7lQ",0.120931768527369
"GK2l8kqPJu9Byk-c1D0-aA",0.119988635934199
"h3c8XBQTer_3_OirrvUflg",0.118754546149312
"uCQBZQcLbAxb1FKt7DHqgw",0.115950129976861
"ioXu3MhPt_v8f5wTWJX4ag",0.115916131611569
"_YCwkkdiW5KliTK8g8Tlew",0.114767862052812
"va8gX25HcEcnHnLgy1j_tA",0.111397639876611
"1olAT5l8ZiKLVavyWkeElw",0.110927535183983
"HuewLVDas2H0q0TqcnmprQ",0.110683611909612
"ASN-bDe1cVl3Y8-lnqA7Og",0.109530990195155
"gWZt5lnRQPbTwXRi9Ik6Tw",0.106514638759964
"24Qlwel3zvrkNX9zMvBJDg",0.104349866861174
"eUfSEAOFhvH-3N4MEgHHCA",0.104021276414485
"-LHHCgIUZy49sUU4j03T2w",0.103918716329649
"c7pNpJMmvRXBpC_8kj76nA",0.103336803377882
"4eWKhiixHQcEvQpwIPvT0g",0.0984946471717266
"mI2poz7WNXEZtJpY8NAUGQ",0.0970899510171438
"ePP0Eqz8JKSbtdt2phiB4A",0.0965775940608385
"WzWTE_TNv4XDkN7m_KDWxA",0.096300036341885
"_LYz2vdGyXsV-8b-_T47ag",0.0941106990912955
"MQnNtW1lHS-eid3QNUoUIw",0.0936331541849694
"OAi1g2Go1MBjaR9m1fEHHA",0.0913842652055375
"EOu5kwsz9XPyq5r-eWrOFQ",0.0892740011362061
"mpDxBBGywUE6GRRKja3sBA",0.0892137809636234
"oYNLeOhMA0fbgtPn-QAdjw",0.087631067822818
"MC8Fv4Hd4reUsTKJYoZPfg",0.0860165439200269
"2y-zifC8_V5XUTsyCSWvdQ",0.0859206797388619
"-WZ3MCw4wOOnEJyHXw0kAg",0.0849115058654945
"VsaFeXDhG75yTWUGTDzNAA",0.0848431733698919
"LxUL7mZjMbVX9ZBSyyKWmw",0.08441072443265
"T-hoctrFbfDULmRty_2UIg",0.0805407877778054
"0K8roYiVL3c5koa5pDEBUw",0.0804705727475651
"NTfUFk8GyOLL1uPbEO-pVg",0.0795537418204822
"wf1wLAnFhxWRWQ7mzaYexA",0.0794697443318777
"y2FMWeHfbxQADvcdV2ja2w",0.0791158576806598
"zHzW66E12sDnMjETbehD6w",0.078162642611048
"nDMqBGHBmdjHapvtjBtkwg",0.0779748395832841
"CyTmpAMiqoWe2RoT889B2w",0.0740772357383181
"7BUdfIyfn3H0a55eFSt9bw",0.0739510528814011
"r9I-6Je0ZtPuPtX7M4CRVw",0.0724351672084847
"cbBNL7Q0CIrIRkFkziMzFg",0.0709577392951032
"WuCcv_Dyd_1B_1-4jwK7sQ",0.070816478936971
"AYeeWujHF-va8vJME8Qxgg",0.070379642759991
"cBhjC_fmx3mlGj8AtPS5WA",0.0702800529711071
"oQnEBD0vu7XjJpofArA5aw",0.0701094372686459
"MGDuAYuyDJd-J-sv0wNoSQ",0.0692375603446731
"PCsgSmRJSV7iqZ4Al2mEkw",0.06889997154747
"JAgOcvH_sGUAX7NvD0-Uww",0.0687491500605666
"c_ZoCRssEFl7cKul3Wzm4Q",0.0685454243705279
"UftBjKdS_q7x9z8l8ULJZQ",0.0679217973971636
"MDvjaN-ygRjaakP3ier8Ww",0.0678196516574506
"FEkViB1aCpAkfa4GMWI4ug",0.0675601098339236
"--pOlFxITWnhzc7SHSIP0A",0.067447810373874
"U9zkQuiqehClzoJ74siF8w",0.0668628749172957
"QUmoDqc2016XlV9cuM-apQ",0.0667473636281198
"wCBpyIrn3RfJfS0CZjOQrw",0.065680859688797
"qWzxhlUq472AlcFTGNlhZQ",0.064958927641575
"QUmE1tQJOBb2D5Smu5_A-g",0.064254675707312
"9Hc15fmqICd2ecpsSM2pIg",0.064176386931308
"yT3OITYWbjqKM15mGNXmyw",0.0640950620993382
"G90_hrydwP7mZEbehciP7g",0.063887188388902
"eaqJQP6bp7rQJQt5KqfvxQ",0.0634492659316393
"ym9QwkmB5ZKTyj7q5huTDw",0.0624939977831825
"3EDCh1Wssaak6D7OXx1bqA",0.0622339694946261
"vwEmnhJjcD8Zgp8K_8pJRA",0.061028516273653
"Cbm9WtXkOLcQ6u35O3zFOA",0.0594716188021598
"Iw_qZEDbHv9Jr4eC_2lfKA",0.0589948523800686
"ZtTFN5WeYVYqey1-mxIxmA",0.0589914503868806
"rIKH9_A6hxDxXww-kOhnZw",0.0586610914729681
"Zt5l6Ka68O1Hukw4Eoa4Tw",0.0582783684759915
"bZrg7gl1duX2tfXY4kY7dw",0.0582375990111571
"ZqbLzCYPdDNL97lwoiQmWQ",0.0573918639572573
"_mrGYF6uScU24LcwshEqCA",0.0571987531816699
"TnUgQXUHtx8LwJSfkeylGg",0.0563138408195108
"BK-6_OIZMB4BechQ-ae7wA",0.0558336797600228
"Rlbb5bQ1W520xjkLaD9OFQ",0.0556986582707346
"P9pZLGjYc1j7VPO-KIBpMw",0.0556887976410464
"LxCf3sDhSiOWH_xJTQfFkg",0.0552309746104114
"k9JpdrfeJmmgV5Op44stvQ",0.0551631421082565
"AcYJ6qYKY_46qE5zabJP0w",0.0551552333145866
"QzCHw22PCN53f9Y53MDgZQ",0.054802786666461
"MflKZcZmslSaNBODkhtIhQ",0.0531847964428069
"O5rT7T6nW-5mUHKeoi68qg",0.0530360602440708
"bQiAU9rKpdixtFuX0OoRmA",0.0529963527215251
"4CPrhBc4Ado90fj7PG6jrA",0.0523329903627022
"lpomaa_on7jhU-lG4GxpMg",0.0522139723898603
"y0plWo8YVTM31ohd6MkRmw",0.0519723883039371
"Mtp4pMgIP9nXqq1UCJjgAQ",0.0517020908532537
"23xfK-M76sWaAGgIwy5wPA",0.0516604395669003
"L9AlMDqwlKpVDFTcSIw4hA",0.0513874798938694
"BdC1PNadRbZPlipU074A7A",0.0500748343880845
"aL9GXjdgNyJuCN0RzTFDtg",0.0500465688234289
"TpNz3nBaw4tEz_tnnxH-4A",0.0499626388149311
"MMNBgMQCdwyVoNaHg0h_QA",0.0499349727556144
"lZ4yGHhZrefttO3ZM88oBw",0.0496946911304139
"BpmIkVMjv9sWi4rgx0SVIw",0.0491003784017223
"73hnj3oDhaEt46uMLhw-BQ",0.0483183038476032
"11XUTAA8QO11cuyzEPVOkg",0.0477565271995372
"3C-tuH9X6x5PqGDRYn83uQ",0.0477340816329958
"z0lvl46xW3jtj8S7E01kBw",0.0475055292044425
"slBLrfkdIJ_3NKN-ZaW4aQ",0.0469290530242588
"SOYk9W4BOEUT7tKwT7p1UA",0.0469249772796501
"0KNRmt72IWxI1JLpfpLwSA",0.0460025474907417
"iF_Ox8TPLwjqy0WzyWFnmw",0.0458945125173851
"BW52sBPn1Hbeh3LPsGLFtA",0.0457966143651845
"s-cFWOk9LXXZCrm4lKpjEg",0.0450304848064202
"9IlsUWl2XdwCzYPgyLDkIA",0.0447847961028084
"B7txe-1iQs1A2rmFMJ8uug",0.0445592140285583
"z24h6ZYnZiWjlDTuLXG9jw",0.0441513014657031
"hIQRiE3UsYH7UsrsDwJwLA",0.0435178946033911
"mHgi91lUUK5D-UNcv8HE6A",0.0434156839152106
"q1L6bDk1jfh18Q4USMlnGw",0.0433664787363952
"RBLNreE9s8sjT1bOVsDsPA",0.0433610226754926
"hY0E4jeIyDgLVf7_OelKBA",0.0432977228712962
"dLcGMPuojXYjfbkgrEgO7g",0.042857959196735
"TQU6uoswhbcI2Mj3EV505w",0.0426623285164192
"5gd53htrojGhdbV1jfrU_Q",0.0416592310853939
"PGEcewIyTpHY4AgJGcW94Q",0.041417856896532
"Z6DfLcBqRwFv86u-ddVYDQ",0.0412238093272428
"GYb6yFYJjDBNYcHM7vX5vg",0.0404281587359485
"QJV9AxLMwCV5qYCOpItDqw",0.0402717466880439
"foUl4SFiClz_5yP3dy4yrw",0.0399532440353008
"0f9yhyfnyWB9hF85PNmcLQ",0.0399507819847263
"6KWa45IN5hFWv617efvBBA",0.0398204090439117
"4MuAYyzgK2AhwMlBOjzTNA",0.0396925800360049
"a0r8LLyls4O0rwrsdD_W6A",0.039466489920977
"IAjnFU8VeWN9yo5m3NWWYA",0.0393469083948634
"py-GHWztjFhria6RZs9Q2w",0.0391480581627001
"zBMJYg34dTe5nZm6QVPYeg",0.0391464710212902
"aTMDGTQpHVzUY2VxBy4i8A",0.0391347500540507
"41uh9gpSwCfiJuK3EaHisQ",0.0386842584827517
"6Le3aK5pUrGZaRVMGS0H7w",0.0386376945633787
"Oa2dOUzRic8Hvgdh3EAFuw",0.0384603953880201
"UzMMpUFwJhwUkHOyeXeWsQ",0.0383697613696732
"d9rgDxYwfghhWI6Qc6n5Ig",0.0380007633123166
"zIsBAFwo2ksynT2BdlhNhQ",0.0376122272305516
"jP8vJjSR99vd8-ket5_NzQ",0.0372804720381102
"kAid56AY_laxGYslMdsYJw",0.0371842891406698
"9xoEUUPmh3JnSl9B9IglPA",0.0371267908172031
